Color,Style,Pattern Type,Type,Fabric,Material,Composition,Care Instructions,rating,price,category,Polyester,Elastane,Viscose,Spandex,Cotton,Metallized Fibres,Polyamide,Rayon,Silk,Nylon,Cashmere,Linen,Polyurethane
Black ,Party ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",4.92,219.0,dresses,95.0,5.0,,,,,,,,,,,
Multicolor ,Casual ,Plaid ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.83,69.0,dresses,100.0,,,,,,,,,,,,
Green ,Casual ,Plain ,Fitted ,Medium Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Hand wash or professional dry clean ,4.73,49.0,dresses,60.0,5.0,35.0,,,,,,,,,,
Black and White ,Casual ,All Over Print ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,49.0,dresses,100.0,,,,,,,,,,,,
Black ,Casual ,Geometric ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,69.0,dresses,100.0,,,,,,,,,,,,
Blue ,Elegant ,Plain ,Fitted ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.82,79.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,Fitted ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,49.0,dresses,95.0,5.0,,,,,,,,,,,
Black ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Hand wash or professional dry clean ,4.77,49.0,dresses,90.0,10.0,,,,,,,,,,,
Multicolor ,Boho ,Floral ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,59.0,dresses,100.0,,,,,,,,,,,,
Black ,Sexy ,Plain ,Cami ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,29.0,dresses,95.0,5.0,,,,,,,,,,,
Army Green ,Casual ,Plain ,Tee ,High Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.73,29.0,dresses,96.0,4.0,,,,,,,,,,,
White ,Sexy ,Plain ,Cami ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.94,69.0,dresses,95.0,5.0,,,,,,,,,,,
Purple ,Party ,Plain ,A Line ,Non-Stretch ,Satin ,100% Polyester ,Hand wash or professional dry clean ,4.91,99.0,dresses,100.0,,,,,,,,,,,,
