Color,Style,Pattern Type,Type,Fabric,Material,Composition,Care Instructions,rating,price,category,Polyester,Elastane,Viscose,Spandex,Cotton,Metallized Fibres,Polyamide,Rayon,Silk,Nylon,Cashmere,Linen,Polyurethane
Green ,Sexy ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",0.0,59.0,shirts,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,"Hand wash,do not dry clean ",0.0,49.0,shirts,100.0,,,,,,,,,,,,
Green ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,29.0,shirts,100.0,,,,,,,,,,,,
Brown ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.84,29.0,shirts,100.0,,,,,,,,,,,,
Black ,Casual ,Cartoon ,top,Slight Stretch ,Fabric ,"95% Cotton, 5% Elastane ",Machine wash or professional dry clean ,0.0,39.0,shirts,,5.0,,,95.0,,,,,,,,
Coral Pink ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,shirts,100.0,,,,,,,,,,,,
White ,Casual ,Plain ,top,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,29.0,shirts,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,"Hand wash,do not dry clean ",0.0,39.0,shirts,100.0,,,,,,,,,,,,
Black ,Casual ,Colorblock ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,shirts,100.0,,,,,,,,,,,,
Hot Pink ,Party ,Plain ,top,Non-Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,19.0,shirts,95.0,5.0,,,,,,,,,,,
Burnt Orange ,Boho ,Colorblock ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,59.0,shirts,100.0,,,,,,,,,,,,
Light Grey ,Casual ,Plain ,top,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,39.0,shirts,95.0,5.0,,,,,,,,,,,
Rust Brown ,Party ,Plain ,top,High Stretch ,Sequins ,"96% Polyester, 4% Elastane ","Hand wash,do not dry clean ",0.0,79.0,shirts,96.0,4.0,,,,,,,,,,,
Hot Pink ,Boho ,Floral ,top,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",0.0,39.0,shirts,95.0,5.0,,,,,,,,,,,
White ,Elegant ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Hand wash or professional dry clean ,5.0,39.0,shirts,100.0,,,,,,,,,,,,
Multicolor ,Boho ,Floral ,top,Non-Stretch ,Chiffon ,100% Polyester ,Hand wash or professional dry clean ,0.0,25.86,shirts,100.0,,,,,,,,,,,,
Pink ,Party ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,1.0,69.0,shirts,100.0,,,,,,,,,,,,
White ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"70% Viscose, 30% Polyamide ",Machine wash or professional dry clean ,0.0,39.0,shirts,,,70.0,,,,30.0,,,,,,
Grey ,Sexy ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,59.0,shirts,100.0,,,,,,,,,,,,
White ,Elegant ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,shirts,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,"Hand wash,do not dry clean ",0.0,39.0,shirts,100.0,,,,,,,,,,,,
Army Green ,Casual ,Plain ,top,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,19.0,shirts,95.0,5.0,,,,,,,,,,,
Multicolor ,Boho ,"Floral, All Over Print ",top,Non-Stretch ,Fabric ,"95% Polyester, 5% Spandex ","Machine wash, do not dry clean ",0.0,23.0,shirts,95.0,,,5.0,,,,,,,,,
Dark Green ,Sexy ,Plain ,top,Slight Stretch ,Fabric ,"93% Polyester, 7% Elastane ",Machine wash or professional dry clean ,4.91,29.0,shirts,93.0,7.0,,,,,,,,,,,
Navy Blue ,Casual ,Striped ,top,Non-Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.86,69.0,shirts,97.0,3.0,,,,,,,,,,,
Navy Blue ,Sexy ,Plain ,top,High Stretch ,Fabric ,"95% Rayon, 5% Elastane ",Machine wash or professional dry clean ,0.0,29.0,shirts,,5.0,,,,,,95.0,,,,,
Black and White ,Casual ,Houndstooth ,top,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,49.0,shirts,100.0,,,,,,,,,,,,
Black ,Casual ,Halloween ,top,High Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,4.96,19.0,shirts,90.0,10.0,,,,,,,,,,,
Red ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",0.0,39.0,shirts,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,top,Medium Stretch ,Knitted Fabric ,"92% Viscose, 8% Elastane ",Machine wash or professional dry clean ,4.94,29.0,shirts,,8.0,92.0,,,,,,,,,,
Black ,Boho ,"Floral, Random Print ",top,Non-Stretch ,Chiffon ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,shirts,100.0,,,,,,,,,,,,
Black ,Boho ,"Floral, All Over Print ",top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,39.0,shirts,100.0,,,,,,,,,,,,
White ,Elegant ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean ",0.0,59.0,shirts,100.0,,,,,,,,,,,,
White ,Sexy ,Plain ,top,Medium Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Hand wash or professional dry clean ,4.8,19.0,shirts,90.0,10.0,,,,,,,,,,,
Multicolor ,Boho ,"Striped, Floral ",top,Non-Stretch ,Woven Fabric ,100% Viscose ,Machine wash or professional dry clean ,4.89,39.0,shirts,,,100.0,,,,,,,,,,
Black ,Sexy ,Plain ,top,Slight Stretch ,PU Leather ,"90% Polyester, 10% Elastane ","Machine wash, do not dry clean ",0.0,19.0,shirts,90.0,10.0,,,,,,,,,,,
White ,Elegant ,Plain ,top,Non-Stretch ,Fabric ,100% Cotton ,Machine wash or professional dry clean ,4.83,69.0,shirts,,,,,100.0,,,,,,,,
Blue ,Casual ,Striped ,top,Non-Stretch ,Fabric ,"70% Cotton, 30% Polyester ","Machine wash, do not dry clean ",0.0,59.0,shirts,30.0,,,,70.0,,,,,,,,
Blue ,Casual ,Plain ,top,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,29.0,shirts,95.0,5.0,,,,,,,,,,,
Rust Brown ,Elegant ,Plain ,top,Non-Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Hand wash or professional dry clean ,4.96,79.0,shirts,95.0,,,5.0,,,,,,,,,
Black and White ,Casual ,Zebra Stripe ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,shirts,100.0,,,,,,,,,,,,
Orange ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,19.0,shirts,100.0,,,,,,,,,,,,
White ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,"80% Polyester, 20% Cotton ","Machine wash, do not dry clean ",0.0,39.0,shirts,80.0,,,,20.0,,,,,,,,
Champagne ,Party ,Plain ,top,Medium Stretch ,Sequins ,100% Polyester ,"Hand wash,do not dry clean ",0.0,59.0,shirts,100.0,,,,,,,,,,,,
Blue and White ,Casual ,Striped ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,49.0,shirts,100.0,,,,,,,,,,,,
Royal Blue ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,39.0,shirts,100.0,,,,,,,,,,,,
Multicolor ,Casual ,Striped ,top,Non-Stretch ,Woven Fabric ,"50% Cotton, 45% Viscose, 5% Linen ",Machine wash or professional dry clean ,0.0,49.0,shirts,,,45.0,,50.0,,,,,,,5.0,
Multicolor ,Elegant ,Paisley ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,59.0,shirts,100.0,,,,,,,,,,,,
Army Green ,Casual ,Plain ,top,High Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ","Hand wash,do not dry clean ",0.0,29.0,shirts,60.0,5.0,35.0,,,,,,,,,,
Dark Grey ,Casual ,"Letter, Animal ",top,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.98,29.0,shirts,97.0,3.0,,,,,,,,,,,
Black ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,0.0,39.0,shirts,97.0,3.0,,,,,,,,,,,
Orange ,Casual ,Plain ,top,Slight Stretch ,Mesh Fabric ,"94% Polyamide, 6% Elastane ","Hand wash,do not dry clean ",0.0,9.0,shirts,,6.0,,,,,94.0,,,,,,
Multicolor ,Boho ,Tropical ,top,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,19.0,shirts,95.0,5.0,,,,,,,,,,,
Black ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"62% Polyester, 33% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.95,39.0,shirts,62.0,5.0,33.0,,,,,,,,,,
White ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Hand wash or professional dry clean ,0.0,29.0,shirts,100.0,,,,,,,,,,,,
Hot Pink ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,39.0,shirts,95.0,5.0,,,,,,,,,,,
White ,Casual ,Plain ,top,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,29.0,shirts,95.0,5.0,,,,,,,,,,,
Black ,Casual ,Figure ,top,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",4.0,29.0,shirts,95.0,5.0,,,,,,,,,,,
Hot Pink ,Casual ,All Over Print ,top,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean,wash with the soft detergent ",4.94,39.0,shirts,100.0,,,,,,,,,,,,
Army Green ,Casual ,Plain ,top,Medium Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.79,39.0,shirts,95.0,,,5.0,,,,,,,,,
Hot Pink ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.9,19.0,shirts,100.0,,,,,,,,,,,,
Black ,Casual ,Graphic ,top,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",5.0,39.0,shirts,95.0,5.0,,,,,,,,,,,
Pink ,Casual ,Ombre ,top,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",0.0,39.0,shirts,95.0,5.0,,,,,,,,,,,
Black ,Casual ,Plain ,top,High Stretch ,Knitted Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.87,39.0,shirts,100.0,,,,,,,,,,,,
Black ,Sexy ,Plain ,top,High Stretch ,Fabric ,"91% Polyester, 9% Elastane ",Machine wash or professional dry clean ,4.82,29.0,shirts,91.0,9.0,,,,,,,,,,,
Multicolor ,Boho ,Floral ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.94,19.0,shirts,100.0,,,,,,,,,,,,
White ,Casual ,Slogan ,top,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,0.0,29.0,shirts,95.0,,,5.0,,,,,,,,,
White ,Casual ,"Letter, Figure ",top,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,29.0,shirts,95.0,5.0,,,,,,,,,,,
Dusty Pink ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,39.0,shirts,100.0,,,,,,,,,,,,
Dark Green ,Casual ,"Letter, Plants ",top,Medium Stretch ,Fabric ,"65% Cotton, 35% Polyester ",Machine wash or professional dry clean ,4.96,29.0,shirts,35.0,,,,65.0,,,,,,,,
Grey ,Casual ,Tribal ,top,Slight Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean,wash with the soft detergent ",0.0,39.0,shirts,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,top,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,29.0,shirts,95.0,5.0,,,,,,,,,,,
Burnt Orange ,Casual ,Plain ,top,Slight Stretch ,Fabric ,"62% Polyester, 34% Cotton, 4% Elastane ",Machine wash or professional dry clean ,4.65,19.0,shirts,62.0,4.0,,,34.0,,,,,,,,
Multicolor ,Casual ,Colorblock ,top,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,29.0,shirts,95.0,5.0,,,,,,,,,,,
Red ,Sexy ,Plain ,top,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.4,29.0,shirts,95.0,5.0,,,,,,,,,,,
Lime Green ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"86% Polyester, 8% Elastane, 6% Metallized Fibres ",Machine wash or professional dry clean ,5.0,9.0,shirts,86.0,8.0,,,,6.0,,,,,,,
Dark Grey ,Casual ,Letter ,top,Slight Stretch ,Fabric ,"65% Viscose, 35% Polyester ",Machine wash or professional dry clean ,5.0,29.0,shirts,35.0,,65.0,,,,,,,,,,
Black ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,59.0,shirts,100.0,,,,,,,,,,,,
Black and White ,Casual ,Striped ,top,Slight Stretch ,Fabric ,"77.6% Cotton, 22.4% Polyester ",Machine wash or professional dry clean ,4.83,29.0,shirts,22.4,,,,77.6,,,,,,,,
Multicolor ,Casual ,Striped ,top,Medium Stretch ,Fabric ,"62% Viscose, 30% Polyester, 8% Spandex ",Machine wash or professional dry clean ,4.95,29.0,shirts,30.0,,62.0,8.0,,,,,,,,,
Black ,Elegant ,Floral ,top,Medium Stretch ,Flocking ,"70% Polyester, 27% Polyamide, 3% Elastane ",Hand wash or professional dry clean ,5.0,29.0,shirts,70.0,3.0,,,,,27.0,,,,,,
White ,Casual ,Letter ,top,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,39.0,shirts,95.0,5.0,,,,,,,,,,,
Dark Grey ,Casual ,Heart ,top,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.92,29.0,shirts,97.0,3.0,,,,,,,,,,,
Cadet Blue ,Casual ,Plain ,top,High Stretch ,Fabric ,"73% Polyester, 22% Viscose, 5% Elastane ","Machine wash, do not dry clean ",0.0,49.0,shirts,73.0,5.0,22.0,,,,,,,,,,
Dusty Blue ,Casual ,Geometric ,top,Slight Stretch ,Knitted Fabric ,"65% Polyester, 35% Viscose ","Machine wash, do not dry clean,wash with the soft detergent ",4.95,29.0,shirts,65.0,,35.0,,,,,,,,,,
Red Violet ,Sexy ,Plain ,top,Medium Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",0.0,39.0,shirts,95.0,5.0,,,,,,,,,,,
Black ,Party ,Plain ,top,Slight Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.81,29.0,shirts,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,top,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.98,19.0,shirts,95.0,5.0,,,,,,,,,,,
Black ,Casual ,Floral ,top,Slight Stretch ,Knitted Fabric ,"62% Polyester, 34% Cotton, 4% Elastane ",Machine wash or professional dry clean ,0.0,29.0,shirts,62.0,4.0,,,34.0,,,,,,,,
White ,Sexy ,Plain ,top,High Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,4.81,19.0,shirts,90.0,10.0,,,,,,,,,,,
Black ,Casual ,Plain ,top,Slight Stretch ,Fabric ,"83% Polyester, 11% Viscose, 6% Elastane ",Machine wash or professional dry clean ,4.89,29.0,shirts,83.0,6.0,11.0,,,,,,,,,,
Grey ,Casual ,Striped ,top,Medium Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,0.0,49.0,shirts,100.0,,,,,,,,,,,,
Dark Grey ,Casual ,Animal ,top,Medium Stretch ,Fabric ,"94% Polyester, 6% Spandex ",Machine wash or professional dry clean ,4.93,29.0,shirts,94.0,,,6.0,,,,,,,,,
Black ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,29.0,shirts,95.0,5.0,,,,,,,,,,,
Black ,Casual ,"Cartoon, Slogan ",top,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.9,23.0,shirts,97.0,3.0,,,,,,,,,,,
Black ,Casual ,Leopard Print ,top,Slight Stretch ,Fabric ,"62% Polyester, 34% Cotton, 4% Elastane ",Machine wash or professional dry clean ,4.96,29.0,shirts,62.0,4.0,,,34.0,,,,,,,,
White ,Casual ,Plain ,top,High Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Hand wash or professional dry clean ,4.5,29.0,shirts,90.0,10.0,,,,,,,,,,,
Navy Blue ,Casual ,Plain ,top,Slight Stretch ,Fabric ,"83% Polyester, 11% Viscose, 6% Elastane ",Machine wash or professional dry clean ,4.9,29.0,shirts,83.0,6.0,11.0,,,,,,,,,,
Apricot ,Casual ,Plain ,top,Medium Stretch ,Knitted Fabric ,"94% Polyester, 6% Spandex ",Machine wash or professional dry clean ,4.86,29.0,shirts,94.0,,,6.0,,,,,,,,,
Multicolor ,Elegant ,Leopard Print ,top,Non-Stretch ,Fabric ,"98% Polyester, 2% Elastane ",Machine wash or professional dry clean ,4.93,29.0,shirts,98.0,2.0,,,,,,,,,,,
Mint Green ,Casual ,Heart ,top,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Spandex ","Machine wash, do not dry clean,wash with the soft detergent ",0.0,29.0,shirts,95.0,,,5.0,,,,,,,,,
Black ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",0.0,29.0,shirts,95.0,5.0,,,,,,,,,,,
Black ,Casual ,Slogan ,top,Slight Stretch ,Knitted Fabric ,"95% Viscose, 5% Elastane ",Machine wash or professional dry clean ,0.0,19.0,shirts,,5.0,95.0,,,,,,,,,,
Multicolor ,Casual ,All Over Print ,top,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.95,29.0,shirts,95.0,5.0,,,,,,,,,,,
Light Grey ,Casual ,Plain ,top,Slight Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.88,23.0,shirts,100.0,,,,,,,,,,,,
Black and White ,Elegant ,Plaid ,top,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.91,29.0,shirts,95.0,5.0,,,,,,,,,,,
Black ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.98,29.0,shirts,100.0,,,,,,,,,,,,
Black ,Casual ,Plain ,top,Medium Stretch ,Fabric ,"94% Cotton, 6% Elastane ","Machine wash, do not dry clean ",4.92,29.0,shirts,,6.0,,,94.0,,,,,,,,
Black ,Casual ,Letter ,top,Medium Stretch ,Knitted Fabric ,"94% Viscose, 6% Elastane ",Machine wash or professional dry clean ,0.0,39.0,shirts,,6.0,94.0,,,,,,,,,,
Multicolor ,Casual ,Leopard Print ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,29.0,shirts,100.0,,,,,,,,,,,,
White ,Casual ,"Graphic, Slogan ",top,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.89,29.0,shirts,95.0,5.0,,,,,,,,,,,
Navy Blue ,Casual ,Plain ,top,Slight Stretch ,Fabric ,"65% Polyester, 35% Viscose ",Machine wash or professional dry clean ,4.96,29.0,shirts,65.0,,35.0,,,,,,,,,,
Apricot ,Casual ,Plain ,top,Medium Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,0.0,39.0,shirts,95.0,5.0,,,,,,,,,,,
Green ,Casual ,Plain ,top,Medium Stretch ,Knitted Fabric ,"45.5% Viscose, 45% Cotton, 9.5% Elastane ","Machine wash, do not dry clean ",5.0,29.0,shirts,,9.5,45.5,,45.0,,,,,,,,
Multicolor ,Casual ,"Letter, Tie Dye ",top,Slight Stretch ,Knitted Fabric ,100% Cotton ,Machine wash or professional dry clean ,0.0,39.0,shirts,,,,,100.0,,,,,,,,
Brown ,Elegant ,Plain ,top,Medium Stretch ,Flannelette ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.9,29.0,shirts,95.0,5.0,,,,,,,,,,,
Red ,Boho ,"Heart, All Over Print ",top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,39.0,shirts,100.0,,,,,,,,,,,,
Black ,Casual ,Striped ,top,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.93,29.0,shirts,95.0,,,5.0,,,,,,,,,
White ,Casual ,Plain ,top,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,59.0,shirts,100.0,,,,,,,,,,,,
White ,Casual ,"Figure, Plants ",top,Non-Stretch ,Fabric ,100% Cotton ,Machine wash or professional dry clean ,4.95,29.0,shirts,,,,,100.0,,,,,,,,
Black ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,39.0,shirts,100.0,,,,,,,,,,,,
Dark Grey ,Casual ,Plain ,top,Non-Stretch ,Fabric ,"72% Polyester, 25% Rayon, 3% Spandex ",Machine wash or professional dry clean ,0.0,89.0,shirts,72.0,,,3.0,,,,25.0,,,,,
Red Violet ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"83% Polyester, 11% Viscose, 6% Elastane ",Machine wash or professional dry clean ,0.0,29.0,shirts,83.0,6.0,11.0,,,,,,,,,,
Royal Blue ,Casual ,Plain ,top,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.95,19.0,shirts,100.0,,,,,,,,,,,,
Coffee Brown ,Casual ,Letter ,top,Medium Stretch ,Knitted Fabric ,"95% Viscose, 5% Elastane ",Hand wash or professional dry clean ,5.0,29.0,shirts,,5.0,95.0,,,,,,,,,,
Black ,Casual ,Geometric ,top,Slight Stretch ,Knitted Fabric ,"95% Cotton, 5% Elastane ","Machine wash, do not dry clean ",0.0,29.0,shirts,,5.0,,,95.0,,,,,,,,
Dark Grey ,Casual ,Letter ,top,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,29.0,shirts,95.0,5.0,,,,,,,,,,,
Black ,Casual ,Figure ,top,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,0.0,29.0,shirts,95.0,,,5.0,,,,,,,,,
Royal Blue ,Party ,Plain ,top,Non-Stretch ,Metallic ,100% Polyester ,"Machine wash, do not dry clean ",0.0,49.0,shirts,100.0,,,,,,,,,,,,
Black ,Casual ,Cartoon ,top,Medium Stretch ,Fabric ,"94% Polyester, 6% Spandex ",Machine wash or professional dry clean ,0.0,29.0,shirts,94.0,,,6.0,,,,,,,,,
Royal Blue ,Sexy ,Plain ,top,Slight Stretch ,Fabric ,"90% Polyester, 10% Elastane ","Hand wash,do not dry clean ",4.99,29.0,shirts,90.0,10.0,,,,,,,,,,,
Purple ,Boho ,Geometric ,top,Slight Stretch ,Knitted Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,19.0,shirts,100.0,,,,,,,,,,,,
Multicolor ,Casual ,"Animal, Graphic ",top,Slight Stretch ,Fabric ,"88% Polyester, 12% Spandex ",Machine wash or professional dry clean ,4.96,29.0,shirts,88.0,,,12.0,,,,,,,,,
Black ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.9,19.0,shirts,96.0,4.0,,,,,,,,,,,
Multicolor ,Casual ,Striped ,top,Medium Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,29.0,shirts,100.0,,,,,,,,,,,,
Coffee Brown ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,0.0,29.0,shirts,97.0,3.0,,,,,,,,,,,
White ,Casual ,"Geometric, Figure ",top,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.94,29.0,shirts,95.0,,,5.0,,,,,,,,,
White ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,0.0,39.0,shirts,95.0,5.0,,,,,,,,,,,
Black ,Casual ,Plain ,top,Medium Stretch ,Fabric ,"96% Polyester, 4% Elastane ","Hand wash,do not dry clean ",4.83,29.0,shirts,96.0,4.0,,,,,,,,,,,
White ,Casual ,Plain ,top,Medium Stretch ,Knitted Fabric ,"93% Rayon, 7% Elastane ",Machine wash or professional dry clean ,0.0,49.0,shirts,,7.0,,,,,,93.0,,,,,
Black ,Sexy ,Plain ,top,Medium Stretch ,Knitted Fabric ,100% Polyester ,"Hand wash,do not dry clean ",0.0,29.0,shirts,100.0,,,,,,,,,,,,
White ,Casual ,Plain ,top,Slight Stretch ,Fabric ,"98% Polyester, 2% Elastane ",Machine wash or professional dry clean ,0.0,29.0,shirts,98.0,2.0,,,,,,,,,,,
Royal Blue ,Casual ,Plain ,top,Slight Stretch ,Knitted Fabric ,"95% Viscose, 5% Elastane ",Machine wash or professional dry clean ,0.0,39.0,shirts,,5.0,95.0,,,,,,,,,,
Multicolor ,Casual ,"Figure, Slogan ",top,Slight Stretch ,Knitted Fabric ,"95% Cotton, 5% Elastane ",Machine wash or professional dry clean ,4.88,29.0,shirts,,5.0,,,95.0,,,,,,,,
Yellow ,Casual ,Letter ,top,Slight Stretch ,Knitted Fabric ,"90% Polyester, 10% Elastane ",Hand wash or professional dry clean ,0.0,19.0,shirts,90.0,10.0,,,,,,,,,,,
Multicolor ,Sexy ,Marble ,top,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,0.0,29.0,shirts,97.0,3.0,,,,,,,,,,,
