Color:,Style:,Pattern Type:,Type:,Fabric:,Material:,Composition:,Care Instructions:,rating,price
Multicolor ,Casual ,Plaid ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.83,₪69.00
Green ,Casual ,Plain ,Fitted ,Medium Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Hand wash or professional dry clean ,4.73,₪49.00
Black and White ,Casual ,All Over Print ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,₪49.00
Black ,Casual ,Geometric ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,₪69.00
Blue ,Elegant ,Plain ,Fitted ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.82,₪79.00
Black ,Elegant ,Plain ,Fitted ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,₪49.00
Black ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Hand wash or professional dry clean ,4.77,₪49.00
Multicolor ,Boho ,Floral ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,₪59.00
Black ,Sexy ,Plain ,Cami ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,₪29.00
Army Green ,Casual ,Plain ,Tee ,High Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.73,₪29.00
White ,Sexy ,Plain ,Cami ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.94,₪69.00
Purple ,Party ,Plain ,A Line ,Non-Stretch ,Satin ,100% Polyester ,Hand wash or professional dry clean ,4.91,₪99.00
Coffee Brown ,Casual ,Plain ,Shirt ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,₪79.00
Multicolor ,Elegant ,Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,₪69.00
Rust Brown ,Casual ,Plain ,Tee ,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.9,₪39.00
Black ,Party ,Plain ,A Line ,Slight Stretch ,Mesh Fabric ,100% Polyamide ,Machine wash or professional dry clean ,4.89,₪99.00
