Color:,Style:,Pattern Type:,Type:,Fabric:,Material:,Composition:,Care Instructions:,rating,price,category
Apricot ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.86,49.0,dresses
Black ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.8,49.0,dresses
Mint Green ,Boho ,Ditsy Floral ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,59.0,dresses
Multicolor ,Boho ,Floral ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,49.0,dresses
Green ,Casual ,Plain ,Tee ,Medium Stretch ,Fabric ,"93.5% Polyester, 6.5% Elastane ",Hand wash or professional dry clean ,4.94,49.0,dresses
Green ,Boho ,"Floral, All Over Print ",Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,49.0,dresses
Mint Green ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,99.0,dresses
Apricot ,Elegant ,"Floral, Plants ",A Line ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.88,59.0,dresses
Royal Blue ,Casual ,Plain ,Tunic ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.89,39.0,dresses
Dark Green ,Elegant ,Plain ,Fitted ,Non-Stretch ,Fabric ,100% Cashmere ,"Machine wash, do not dry clean ",4.96,49.0,dresses
Multicolor ,Boho ,"Floral, Polka Dot ",A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.4,49.0,dresses
Blue ,Boho ,Ditsy Floral ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.74,39.0,dresses
Beige ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"65% Rayon, 30% Polyamide, 5% Elastane ","Hand wash,do not dry clean ",4.99,89.0,dresses
Lilac Purple ,Casual ,Plain ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.77,33.0,dresses
Black ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Knitted Fabric ,"93% Polyester, 7% Elastane ",Machine wash or professional dry clean ,4.89,39.0,dresses
Black ,Elegant ,Plain ,Bodycon ,High Stretch ,Fabric ,"93% Viscose, 7% Elastane ",Machine wash or professional dry clean ,4.84,49.0,dresses
Baby Pink ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,209.0,dresses
Rusty Rose ,Casual ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,79.0,dresses
Black ,Elegant ,Colorblock ,Fitted ,Medium Stretch ,Fabric ,"95% Polyamide, 5% Elastane ",Machine wash or professional dry clean ,4.89,69.0,dresses
Black ,Casual ,Plain ,Bodycon ,Slight Stretch ,Knitted Fabric ,"93% Viscose, 7% Elastane ",Machine wash or professional dry clean ,5.0,59.0,dresses
Black ,Party ,Plain ,Bodycon ,Medium Stretch ,Knitted Fabric ,"79% Polyester, 13% Metallized Fibres, 8% Elastane ","Hand wash,do not dry clean ",4.87,49.0,dresses
Khaki ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,"75% Polyester, 19% Viscose, 6% Elastane ","Hand wash,do not dry clean ",4.94,89.0,dresses
Black ,Casual ,Plain ,A Line ,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",0.0,39.0,dresses
Black ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.86,59.0,dresses
Burgundy ,Elegant ,Plain ,A Line ,Medium Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.93,69.0,dresses
Black ,Boho ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,79.0,dresses
Multicolor ,Boho ,Striped ,Smock ,Non-Stretch ,Fabric ,"50% Cotton, 45% Viscose, 5% Linen ",Machine wash or professional dry clean ,4.75,69.0,dresses
Black ,Party ,Plain ,Fitted ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,109.0,dresses
White ,Boho ,Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,79.0,dresses
Dusty Blue ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.84,49.0,dresses
Apricot ,Casual ,Plain ,A Line ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",4.67,59.0,dresses
Multicolor ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.89,59.0,dresses
Hot Pink ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,69.0,dresses
Navy Blue ,Sexy ,Plain ,Bodycon ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,39.0,dresses
Black ,Elegant ,Plain ,Fit and Flare ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,59.0,dresses
Black ,Casual ,Plain ,Tunic ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,dresses
Dark Green ,Party ,Plain ,Bodycon ,Slight Stretch ,Flannelette ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.99,69.0,dresses
Black and White ,Elegant ,Graphic ,Fitted ,Slight Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.78,69.0,dresses
Apricot ,Casual ,Plain ,A Line ,High Stretch ,Fabric ,"60% Polyester, 35% Rayon, 5% Elastane ",Machine wash or professional dry clean ,5.0,59.0,dresses
Apricot ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,69.0,dresses
Dark Green ,Party ,Plain ,Cami ,Slight Stretch ,Flannelette ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,19.0,dresses
Dark Grey ,Casual ,Plain ,A Line ,Slight Stretch ,Knitted Fabric ,"49% Viscose, 32% Polyester, 19% Polyamide ",Machine wash or professional dry clean ,4.93,79.0,dresses
Khaki ,Casual ,Slogan ,Tee ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.89,69.0,dresses
Black ,Boho ,Polka Dot ,A Line ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,59.0,dresses
Black ,Elegant ,Colorblock ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,2.0,59.0,dresses
Black ,Elegant ,Plain ,A Line ,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.68,69.0,dresses
Black ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"92% Polyester, 8% Elastane ",Machine wash or professional dry clean ,4.86,59.0,dresses
Multicolor ,Cute ,Floral ,Smock ,Slight Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.96,169.0,dresses
Multicolor ,Modest ,"Floral, All Over Print ",A Line ,Non-Stretch ,Fabric ,"97% Polyester, 3% Spandex ",Machine wash or professional dry clean ,4.92,55.0,dresses
White ,Casual ,Plain ,Shirt ,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean ",5.0,79.0,dresses
Khaki ,Casual ,Plain ,A Line ,High Stretch ,Fabric ,"92% Polyester, 8% Spandex ",Machine wash or professional dry clean ,4.9,31.03,dresses
Black and White ,Casual ,Geometric ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.72,39.0,dresses
Black ,Party ,Plain ,A Line ,Slight Stretch ,Flannelette ,100% Polyester ,"Machine wash, do not dry clean ",4.88,63.0,dresses
Black ,Sexy ,Plain ,Fitted ,High Stretch ,Fabric ,"93% Polyester, 7% Elastane ","Machine wash, do not dry clean ",4.95,59.0,dresses
Black and White ,Casual ,Colorblock ,Tunic ,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.88,59.0,dresses
Hot Pink ,Casual ,Plain ,Tee ,Slight Stretch ,Knitted Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,59.0,dresses
Apricot ,Elegant ,Plain ,Bodycon ,High Stretch ,Fabric ,"93% Viscose, 7% Elastane ",Hand wash or professional dry clean ,4.53,59.0,dresses
Black ,Casual ,Plain ,Tunic ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",5.0,69.0,dresses
Multicolor ,Casual ,Leopard Print ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,59.0,dresses
Black ,Party ,Plain ,Fitted ,Medium Stretch ,Fabric ,"95% Polyester, 5% Spandex ","Machine wash, do not dry clean ",4.93,59.0,dresses
Black ,Casual ,Plain ,Cami ,Non-Stretch ,Knitted Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,59.0,dresses
Navy Blue ,Party ,Plain ,Cami ,Non-Stretch ,Mesh Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.85,139.0,dresses
Green ,Party ,Plain ,Cami ,Slight Stretch ,Fabric ,"83% Polyester, 12% Metallized Fibres, 5% Elastane ","Hand wash,do not dry clean ",4.9,29.0,dresses
Green ,Elegant ,Plain ,A Line ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,3.0,69.0,dresses
Black ,Casual ,Plain ,Cami ,High Stretch ,Knitted Fabric ,"90% Polyester, 10% Elastane ","Machine wash, do not dry clean ",0.0,29.0,dresses
Baby Pink ,Boho ,Plain ,Fit and Flare ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,59.0,dresses
Khaki ,Elegant ,Plain ,Shirt ,Slight Stretch ,Satin ,"98% Polyester, 2% Elastane ",Hand wash or professional dry clean ,5.0,89.0,dresses
Multicolor ,Elegant ,Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean,wash with the soft detergent ",5.0,79.0,dresses
Multicolor ,Elegant ,All Over Print ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,59.0,dresses
Army Green ,Boho ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Rayon ,Machine wash or professional dry clean ,4.77,59.0,dresses
Violet Purple ,Sexy ,Plain ,Cami ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.89,59.0,dresses
White ,Elegant ,Plain ,Shirt ,Medium Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.8,69.0,dresses
Hot Pink ,Sexy ,Plain ,Bodycon ,Slight Stretch ,Flannelette ,"93% Polyester, 7% Elastane ",Machine wash or professional dry clean ,4.7,59.0,dresses
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Knitted Fabric ,100% Polyester ,Machine wash or professional dry clean ,1.0,59.0,dresses
Beige ,Boho ,Tribal ,A Line ,Non-Stretch ,Fabric ,100% Cotton ,Machine wash or professional dry clean ,4.93,109.0,dresses
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"99% Polyester, 1% Elastane ",Machine wash or professional dry clean ,4.95,69.0,dresses
Purple ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,"83% Polyester, 14% Viscose, 3% Elastane ",Hand wash or professional dry clean ,4.47,49.0,dresses
Multicolor ,Elegant ,All Over Print ,Bodycon ,Non-Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.94,59.0,dresses
Khaki ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,99.0,dresses
Beige ,Casual ,Plain ,Tank ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.56,59.0,dresses
Apricot ,Casual ,Plain ,A Line ,High Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Spandex ",Machine wash or professional dry clean ,4.83,49.0,dresses
Baby Blue ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.84,59.0,dresses
Multicolor ,Party ,Tribal ,A Line ,Slight Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.96,99.0,dresses
Multicolor ,Casual ,Leopard Print ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.86,59.0,dresses
Dark Grey ,Casual ,Plain ,Tee ,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.88,49.0,dresses
Multicolor ,Casual ,Colorblock ,Tee ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",4.89,49.0,dresses
White ,Casual ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,59.0,dresses
Multicolor ,Casual ,Tartan ,Tunic ,Non-Stretch ,Fabric ,"65% Polyester, 32% Cotton, 3% Viscose ",Machine wash or professional dry clean ,4.91,59.0,dresses
Black ,Casual ,Plain ,A Line ,High Stretch ,PU Leather ,100% Polyester ,Hand wash or professional dry clean ,0.0,69.0,dresses
Dark Green ,Party ,Plain ,Fitted ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,59.0,dresses
Multicolor ,Casual ,Colorblock ,Smock ,Non-Stretch ,Woven Fabric ,100% Polyester ,"Machine wash, do not dry clean ",5.0,139.0,dresses
Beige ,Sexy ,Plain ,Cami ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,59.0,dresses
Black ,Elegant ,Plain ,A Line ,Medium Stretch ,Knitted Fabric ,"95% Polyester, 5% Spandex ",Hand wash or professional dry clean ,0.0,69.0,dresses
Black ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.94,59.0,dresses
Black and White ,Casual ,All Over Print ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",0.0,49.0,dresses
Apricot ,Casual ,Plain ,A Line ,High Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.79,49.0,dresses
Apricot ,Casual ,Plain ,Pinafore ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.83,49.0,dresses
Black ,Sexy ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"81.4% Polyester, 16.6% Viscose, 2% Elastane ","Hand wash,do not dry clean ",4.89,59.0,dresses
Mauve Purple ,Party ,Plain ,Bodycon ,Slight Stretch ,Metallic ,100% Polyester ,"Hand wash,do not dry clean ",4.83,59.0,dresses
Khaki ,Elegant ,Polka Dot ,Fitted ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,59.0,dresses
Black ,Sexy ,Plain ,Cami ,Slight Stretch ,PU Leather ,"90% Polyester, 10% Elastane ","Machine wash, do not dry clean ",4.44,39.0,dresses
Red ,Sexy ,Plain ,Cami ,Slight Stretch ,Mesh Fabric ,"94% Polyamide, 6% Elastane ","Hand wash,do not dry clean ",4.93,39.0,dresses
Green ,Casual ,Plain ,Tunic ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,39.0,dresses
Black ,Casual ,Plain ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.83,49.0,dresses
Burgundy ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,59.0,dresses
Multicolor ,Casual ,"Striped, Colorblock ",Tee ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",4.93,49.0,dresses
White ,Boho ,Floral ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,59.0,dresses
Olive Green ,Party ,Plain ,Fitted ,Slight Stretch ,Flannelette ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.93,49.0,dresses
Multicolor ,Casual ,"Heart, All Over Print ",A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,69.0,dresses
Red ,Elegant ,Plain ,Cami ,Slight Stretch ,Knitted Fabric ,"94% Polyamide, 6% Elastane ",Machine wash or professional dry clean ,4.9,49.0,dresses
Grey ,Casual ,Plain ,Tee ,Slight Stretch ,Knitted Fabric ,"66% Polyester, 33% Viscose, 1% Elastane ",Machine wash or professional dry clean ,5.0,59.0,dresses
Black ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,49.0,dresses
Pink ,Casual ,Plaid ,Pinafore ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.88,49.0,dresses
Mint Green ,Boho ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,89.0,dresses
Green ,Boho ,Ditsy Floral ,Cami ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.86,39.0,dresses
Black ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Knitted Fabric ,"84% Polyester, 8% Elastane, 8% Metallized Fibres ",Machine wash or professional dry clean ,4.97,69.0,dresses
Purple ,Party ,Plain ,A Line ,High Stretch ,Fabric ,"92% Polyester, 8% Elastane ","Hand wash,do not dry clean ",4.9,109.0,dresses
Black ,Elegant ,Plain ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.85,59.0,dresses
Burnt Orange ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Lace ,"90% Polyamide, 10% Elastane ","Hand wash,do not dry clean ",4.98,139.0,dresses
Black and White ,Party ,Colorblock ,Bodycon ,Medium Stretch ,Fabric ,"97% Polyester, 3% Spandex ","Machine wash, do not dry clean ",4.93,59.0,dresses
Baby Blue ,Elegant ,"Floral, All Over Print ",A Line ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.89,59.0,dresses
Dusty Pink ,Casual ,Striped ,Fitted ,Slight Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.92,55.0,dresses
Multicolor ,Boho ,"Paisley, All Over Print ",A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,59.0,dresses
Black ,Elegant ,Floral ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.42,49.0,dresses
Red ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.94,55.0,dresses
Burnt Orange ,Party ,Plain ,Cami ,Slight Stretch ,Satin ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.94,49.0,dresses
Black and White ,Elegant ,Plaid ,Shirt ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.88,89.0,dresses
White ,Elegant ,Plain ,Bodycon ,Non-Stretch ,Woven Fabric ,"94% Polyester, 6% Elastane ",Machine wash or professional dry clean ,5.0,109.0,dresses
Rust Brown ,Casual ,All Over Print ,A Line ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.95,59.0,dresses
Black ,Cute ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.84,69.0,dresses
Apricot ,Casual ,Plain ,A Line ,Medium Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Hand wash or professional dry clean ,5.0,59.0,dresses
Black ,Elegant ,Plain ,Cami ,Slight Stretch ,Mesh Fabric ,"94% Polyamide, 6% Elastane ",Machine wash or professional dry clean ,4.89,59.0,dresses
Multicolor ,Casual ,Colorblock ,Fitted ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,39.0,dresses
Black ,Sexy ,Plain ,Bodycon ,High Stretch ,Knitted Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,4.88,39.0,dresses
Multicolor ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.92,49.0,dresses
Multicolor ,Casual ,All Over Print ,Shirt ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.75,49.0,dresses
Black ,Casual ,Plain ,Pinafore ,Non-Stretch ,PU Leather ,100% Polyester ,"Machine wash, do not dry clean ",4.81,59.0,dresses
Black ,Casual ,Houndstooth ,Tunic ,Medium Stretch ,Fabric ,"95% Cotton, 5% Elastane ",Hand wash or professional dry clean ,5.0,39.0,dresses
Hot Pink ,Sexy ,Plain ,Bodycon ,High Stretch ,Knitted Fabric ,"93% Polyester, 7% Elastane ",Machine wash or professional dry clean ,4.94,59.0,dresses
Black ,Casual ,Plain ,Shirt ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.81,59.0,dresses
Black ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",0.0,79.0,dresses
White ,Sexy ,Plain ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,59.0,dresses
Black ,Casual ,Plain ,Tunic ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,39.0,dresses
Hot Pink ,Sexy ,Plain ,Bodycon ,High Stretch ,Fabric ,"95% Polyamide, 5% Elastane ",Machine wash or professional dry clean ,4.94,29.0,dresses
Hot Pink ,Sexy ,Plain ,Bodycon ,High Stretch ,Fabric ,"95% Polyamide, 5% Elastane ",Machine wash or professional dry clean ,4.94,29.0,dresses
Purple ,Party ,Plain ,Bodycon ,Slight Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.96,229.0,dresses
White ,Sexy ,Plain ,Cami ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.94,49.0,dresses
Black ,Party ,Plain ,Bodycon ,Slight Stretch ,PU Leather ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",5.0,49.0,dresses
Red ,Sexy ,Plain ,Bodycon ,Medium Stretch ,Knitted Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,4.91,39.0,dresses
Red ,Elegant ,Plain ,Tunic ,Non-Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,49.0,dresses
Apricot ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.86,49.0,dresses
Multicolor ,Boho ,Floral ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,49.0,dresses
Hot Pink ,Elegant ,Plain ,Fitted ,Medium Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.9,49.0,dresses
Green ,Casual ,Plain ,Tee ,Medium Stretch ,Fabric ,"93.5% Polyester, 6.5% Elastane ",Hand wash or professional dry clean ,4.94,49.0,dresses
Black ,Casual ,Plain ,Fitted ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.71,39.0,dresses
Blue and White ,Boho ,Floral ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,79.0,dresses
Lilac Purple ,Casual ,Plain ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.77,33.0,dresses
Khaki ,Elegant ,Letter ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,149.0,dresses
Black ,Casual ,Plain ,Tunic ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.82,39.0,dresses
Black ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Knitted Fabric ,"93% Polyester, 7% Elastane ",Machine wash or professional dry clean ,4.89,39.0,dresses
Dark Green ,Party ,Plain ,Bodycon ,Medium Stretch ,Sequins ,100% Polyester ,"Hand wash,do not dry clean ",4.91,169.0,dresses
Black ,Elegant ,Plain ,Bodycon ,High Stretch ,Fabric ,"93% Viscose, 7% Elastane ",Machine wash or professional dry clean ,4.84,49.0,dresses
Black ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,"98% Polyester, 2% Elastane ",Machine wash or professional dry clean ,5.0,79.0,dresses
Multicolor ,Casual ,Plaid ,Pinafore ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.8,49.0,dresses
Burgundy ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,79.0,dresses
Green ,Casual ,Leopard Print ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,49.0,dresses
White ,Elegant ,Plain ,Bodycon ,High Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.91,49.0,dresses
Teal Blue ,Elegant ,Plain ,Fitted ,Medium Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.43,79.0,dresses
Beige ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"65% Rayon, 30% Polyamide, 5% Elastane ","Hand wash,do not dry clean ",4.99,89.0,dresses
Black ,Party ,Plain ,Bodycon ,Medium Stretch ,Flannelette ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,5.0,139.0,dresses
Multicolor ,Boho ,"Floral, All Over Print ",A Line ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,59.0,dresses
Black ,Elegant ,Letter ,A Line ,Medium Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,5.0,69.0,dresses
Dark Grey ,Casual ,Plain ,A Line ,Medium Stretch ,Fabric ,"67% Polyester, 29% Viscose, 4% Elastane ",Hand wash or professional dry clean ,0.0,49.0,dresses
White ,Casual ,"Floral, Figure ",Tee ,Slight Stretch ,Knitted Fabric ,"95% Cotton, 5% Elastane ",Machine wash or professional dry clean ,4.96,49.0,dresses
Khaki ,Elegant ,Colorblock ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.94,89.0,dresses
Black ,Elegant ,Plain ,Tunic ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,49.0,dresses
Navy Blue ,Casual ,Plain ,Shirt ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.96,69.0,dresses
