Color,Style,Pattern Type,Type,Fabric,Material,Care Instructions,rating,price,category,Polyester,Elastane,Viscose,Spandex,Cotton,Metallized Fibres,Polyamide,Rayon,Silk,Nylon,Cashmere,Linen,Polyurethane
Black ,Party ,Plain ,A Line ,Slight Stretch ,Mesh Fabric ,Machine wash or professional dry clean ,4.89,99.0,dresses,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Dusty Blue ,Casual ,All Over Print ,Tunic ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.97,39.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navy Blue ,Casual ,Plain ,Shirt ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,4.9,69.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,Bodycon ,Non-Stretch ,Fabric ,"Machine wash, do not dry clean ",4.92,49.0,dresses,0.0,5.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grey ,Party ,Plain ,A Line ,Slight Stretch ,Flannelette ,"Hand wash,do not dry clean ",4.92,69.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White ,Casual ,Plain ,A Line ,Non-Stretch ,Fabric ,Hand wash or professional dry clean ,4.9,69.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hot Pink ,Cute ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,Machine wash or professional dry clean ,0.0,49.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Casual ,All Over Print ,Shirt ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,5.0,59.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Casual ,Graphic ,Fitted ,Slight Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.85,47.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,"Machine wash, do not dry clean ",4.91,59.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Boho ,Ditsy Floral ,Smock ,Non-Stretch ,Fabric ,Machine wash or professional dry clean ,4.85,49.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,Shirt ,Slight Stretch ,Woven Fabric ,Machine wash or professional dry clean ,4.86,89.0,dresses,94.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Elegant ,Floral ,A Line ,Slight Stretch ,Woven Fabric ,"Machine wash, do not dry clean ",4.92,69.0,dresses,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Sexy ,Plain ,Bodycon ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,4.92,39.0,dresses,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multicolor ,Casual ,Plaid ,Pinafore ,Non-Stretch ,Wool-Like Fabric ,Machine wash or professional dry clean ,4.82,31.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olive Green ,Boho ,Ditsy Floral ,A Line ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,4.93,79.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black and White ,Elegant ,Houndstooth ,A Line ,Slight Stretch ,Knitted Fabric ,Machine wash or professional dry clean ,4.94,39.0,dresses,95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apricot ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,4.97,49.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black ,Elegant ,Plain ,Fit and Flare ,High Stretch ,Fabric ,Machine wash or professional dry clean ,4.88,49.0,dresses,95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grey ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,Machine wash or professional dry clean ,4.87,49.0,dresses,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maroon ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,Machine wash or professional dry clean ,4.82,59.0,dresses,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
